"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"L_Cov_sd",3.55368467715201,7.83940275039909,5.80139259521216,3.6828510711708,2.36487769487196,2.15999675456834,10.9472964124682,9.12487153558044,3.19686855086978,7.83940275039912,4.97161277378034,4.39203247887764,5.02882251106618
"L_Insert",2441.11258839503,1915.7294769088,159.417290044748,156.523355459626,298.169669935437,3080.99395828423,309.004449600077,175.68481473055,1816.06882987341,249.60560549432,298.169669935424,962.631051015568,513.404476624182
"L_Insert_10_percentile",131.362507633334,131.362507633334,248.562638919803,79.3280733794223,61.7814579829942,237.985236985637,238.985550964767,85.8137219849178,1085.2482555276,218.236343214032,297.005152192572,194.21621121236,295.483348912397
"L_Mapping_q_sd",3.42753364670437,3.7590330996033,9.26660382141313,3.74290933323198,0.777141125079588,4.90685527375901,10.8336804591668,21.6339487650054,0.999151563289662,3.87410623901777,50.7611740001681,3.42753364670439,4.17313989152619
"L_Del_10_percentile",-0.00747735763303199,0.00366674620158538,-0.00220436269535475,-0.0057276788371155,-0.0128338149197886,-0.0032104300343866,-0.0096791312030077,0.0475798470424648,-0.00583140117813117,-0.00156688456508653,-0.00156688456508647,-0.00112278603565238,0.0026342330751394
"L_Ins_sd",-0.0133882861306255,0.48159058362309,0.528759411935889,0.19947916851315,-0.727054940607927,0.169117244239248,0.687939150934982,0.935831240559529,0.145492662696399,0.257746013298127,0.423981096186344,0.423981096186341,-0.0251875735354701
"LM_Del_sd",0.863356735078868,-0.151526976725864,0.927146487582879,2.07173069623887,-0.542567353071772,0.608208716466184,0.396518894377029,2.30122802270399,-0.0495401263779259,2.10112822239009,0.396856457349764,-0.123229870639171,-0.542567353071746
"M_Cov_sd",6.01383619391867,8.68914440689763,10.7324349375981,4.32271133647097,0.511525404099395,3.75655877726752,14.5122685480068,9.95231888143364,6.38889833661246,5.79992096410559,6.88593241488307,6.88593241488311,6.19236046913109
"M_Dis_all",685.844737881445,148.908942627631,161.316067151723,15.829215441318,63.2616733550986,41.1613433159816,8792.66663652246,238.627560148827,552.54736119602,80.2593643953545,15.8292154413174,401.64740795376,555.53976763783
"M_Dis_unmap_ratio",0.00120356819265208,0.0116233985804256,0.0129534771573463,0.0210635151074087,0.00585698187122404,0.0364881340207566,-0.00470299207616272,0.0121782694785995,-0.00790552907727444,0.0110732808923934,0.00585698187122435,0.00796092166701281,0.00358151643588692
"M_Mapping_q",39.8807885335772,27.3987744154492,29.8489671776776,21.4805362431885,68.3239021327899,37.6688340123431,102.09752645288,12.5670689886438,52.9521944591213,36.4056982328038,38.2980296799719,36.9404539653712,68.3239021327898
"M_Soft",14.2250069746071,32.4987190666551,56.3146240728883,27.4926347008558,8.8556313208215,30.8664409851593,30.7138414809209,32.6443142279012,25.8946081801313,29.9780284688859,56.3146240728884,26.189712390394,24.2885621604323
"M_Soft_10_percentile",0.0206822571815957,0.264085079435976,-0.0765027108617563,0.35517934839413,0.386716274596168,0.321193558472591,-0.349435740077075,0.173872738590183,-0.00961973943120638,0.0912221617583626,-0.122849477073508,-0.00961973943120479,-0.0477231971292144
"M_Del_sd",1.86438325555454,-0.0766709584380199,1.094810305393,2.08422317655628,-0.107657596289807,0.483349368110488,1.0521854257807,2.62633976643807,0.170649964628481,2.36196974420301,0.496196818246913,-0.107657596289802,-0.313439886301529
"M_Cov_Cat",1.21233295812973,1.32977871489944,0.0178449100420711,-0.290236084344067,1.3539157054758,0.671189206765413,1.93941186778324,0.653178199941384,0.685231586701187,0.237605328727721,0.671189206765398,1.7807434614638,1.95263273347121
"RM_Insert_sd",197.655953550502,3036.3309765381,197.655953550501,38.5331432570895,-0.434360988843877,141.145854935129,5950.13055147015,354.755996919505,59.2024786425986,139.565915403234,2577.62183059901,136.282537877808,140.008900191156
"RM_Dis_map_ratio",0.0821616805798583,0.13677170566586,0.216040373423385,0.130611114260893,-0.303122088649021,0.0361965883251884,-0.0296609200310501,0.153383725640773,0.0747439261685956,0.248952802625837,0.216040373423387,0.0530615956289482,-0.0513081060619536
"RM_Mapping_pro",0.0748723782248314,0.21957629308688,0.223801037274701,0.245786690550673,-0.331576483842405,0.0420653902730415,-0.0684400748809937,0.236147828333986,0.0200700360187277,0.186981555614264,0.186981555614266,0.0631139657514371,-0.0252198694290292
"RM_Mapping_10_percentile",25.2367707126162,7.82250307101415,0.654409437542103,1.58987683065173,274.190069754258,23.3434502348094,67.3354974462789,1.52901497799874,32.8590202531188,4.37239631504941,23.3434502348085,53.332780082462,114.078168738558
"RM_Ins_90_percentile",0.955204472945786,0.174457796642018,1.01253764964831,0.119049714615331,-0.871323493925991,-0.144095806843596,0.457916408689699,0.927062862016597,0.122211805581661,0.360182650393618,0.45791640868971,-0.220357345939403,-0.0384634820536803
"R_Cov_pro",-0.0243127431441367,-0.0179739134498938,0.0539398093407954,0.0945534907111953,-0.0179739134498951,0.0971815720102067,-0.0889920130003218,0.0962302442785809,0.0744091601912935,0.084164929417068,5.2019470478716e-05,-0.00664394806102656,-0.0373175015941979
"R_Mapping_10_percentile",32.8699855615178,16.8476026487777,18.5047709154382,12.2475628615978,257.283982238896,33.8791884829857,107.712457361156,1.48552928189208,31.510779602054,18.5047709154383,21.9211670546932,51.4196998359369,69.6293365408293
"R_Mapping_90_percentile",66.1028827771861,49.0638018256758,45.9409607875846,19.9101519768371,18.7669308944721,52.6616354842986,75.2532269471941,19.8047445266898,63.8381409938437,32.0026307392242,87.6963792601442,45.4190288458369,87.6963792601453
