"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"L_Dis_all",9.52202037765086,10.9044046972989,9.39290196762521,10.4615889758747,8.99179017644348,15.713271006529,8.7711272075143,1.51946579359533,10.0888871567508,9.79878778033867,10.0888871567509,10.2483986768588,8.99032114462114
"L_Mapping_90_percentile",8.91010666123388,8.91010666123386,3.53610427124805,8.54387457598746,6.36206365232826,14.8867088119174,4.74318731670616,1.58845990000437,8.88825165667832,8.45507259904034,4.54955860555469,6.91384986021375,7.33119416680856
"L_Ins_sd",0.0981782171319441,0.289174105087464,0.635062217564115,0.0999407131060747,0.0404945625187536,0.635062217564112,0.436471631528754,0.970514852135741,-0.1018119445876,0.225463924786423,0.266952472750464,0.583635443277839,0.329675353574894
"L_Diff_90_percentile",0.0205498526285112,0.337349971103702,0.390609495745465,0.0930793410142519,-0.0171036380443303,1.77064545632711,0.788479796993426,0.337349971100191,-0.128975723706074,0.34910841732304,-0.13938835673544,0.71208187340517,0.35610250725706
"LM_Mapping_q_sd",50.9210688990271,15.5765808511036,32.7950601791409,12.3971883975232,6.6205086284401,102.488293173215,4.72131644725585,102.488293173217,22.0435876758519,4.7081617601921,4.78723534907093,10.4773493433227,9.92692676258473
"LM_Mapping_10_percentile",130.907293324251,94.0076768364342,197.918856433053,156.680001151806,617.755171313053,2172.9600398238,70.3163994102054,7.99999524370843,197.918856433053,1031.05814477279,60.4687847541889,253.55619627683,102.72566583383
"LM_Soft_90_percentile",17.1145301719216,12.4679584340941,48.262314709472,13.6845274562714,7.44482375977505,20.0743512352089,8.18534989222486,7.58997326888437,15.6455371907851,3.43221155802637,20.0743512352089,13.0035450186756,8.84002669595308
"LM_Del_sd",0.812271086108183,0.823010355927736,0.392479317550464,0.256308433562129,0.144122626022237,6.42001963119924,0.348954269395662,0.662282450842934,0.157028730985185,1.0974693665082,0.145185007939239,0.659824954433524,0.392479317550462
"LM_Diff_sd",0.899733198264795,0.923714330696775,1.07909389853627,0.350190327707991,0.176250195715061,6.5780183910887,0.530878178367624,1.45729789689419,0.142192819887242,1.14668380661731,0.486753905213291,0.923714330696778,0.499325318738493
"M_Cov_sd",4.16385133434992,2.75767080094754,2.75767080094756,6.39510735653716,1.80345081261598,2.74594970426011,0.999991049045299,7.36853556390592,2.20920397824978,7.04374855811709,1.6569211498625,12.3548006872656,1.67277716727071
"M_Mapping_q_sd",28.2391235763351,16.4341771836955,16.4341771836956,13.1942396213111,6.6333743881539,25.2268904477791,4.65210941971132,152.146698438497,14.9682011072902,5.13601575798884,4.45890533351083,9.37758962412862,6.36571462874101
"M_Soft_10_percentile",-0.0153368751828497,0.418932430519104,0.0119450594148846,0.0123511083437683,-0.190645079142573,0.103790336526927,0.422419667956385,-0.0374205031582299,-0.0374205031582296,-0.0183779656988956,0.14038713793248,0.407069012694968,0.188612874123417
"M_Sine_Line_Ltr_SV",0.098919830124097,0.110771618350991,0.128200580389509,-0.126690535893287,0.294229396669903,0.313625988578211,-0.276433985140928,-0.652544622302855,0.552931072456179,-0.205060683021374,0.128200580386849,-0.100674399042074,0.128195900104771
"RM_Insert_sd",3688408.09281087,15778463.7497112,3656628.11856162,2200596.72177465,364761.32903413,103372.32333094,103372.323330939,1306522.9489146,580504.121052985,2086928.44145363,1288785874.27734,916581.219590561,1544261.24370351
"RM_Insert_10_percentile",1857.22274800553,3650.44060095221,18528.6771580505,3768.13306121577,3768.13306121579,57166.7001103697,2464.55596137568,689.39088263432,10016.3495268768,7204.66017838062,271.988198239402,10233.8742617458,310.389297022132
"RM_Dis_unmap_ratio",0.0392924624064036,-0.0149700174308092,-0.000848253487867872,0.0284813387406156,-0.000980473843353023,-0.0218211880284205,0.00943443824709991,-0.00764397050959059,-0.00764397050959055,-0.00257092790400598,0.00733769342225486,0.0035607957015996,-0.0041658747662417
"RM_Del_10_percentile",-0.000313317686727384,-0.017375098589763,0.142856782672223,-0.00926984084313848,0.0358262414918776,-0.00862259467278263,-0.00926984084313857,0.016587457611601,-0.0128081655873065,-0.0102405617115803,-0.00836928145927009,2.3022445401969e-05,-0.00690700226908065
"R_Insert_10_percentile",114.061457498273,135.66312977825,114.061457498273,177.793415511581,45.6867896163264,353.312709141853,965.544756512716,20.5336853596216,236.172599872,193.227656736594,92.2917193090395,144.818904945043,98.3917537149241
"R_Dis_unmap_ratio",0.00899479681465268,-0.00480455272402788,-0.000542780679289774,0.0166885397184779,-0.00119813528961205,-0.00428242383810333,-0.00211782316584006,0.0487709753647989,-0.000203856432837074,-0.00537559831829441,-0.00119813528961211,-0.00181957377706379,-0.00166714614432329
"R_Mapping_10_percentile",97.7581026525324,109.924128938432,44.0003614336862,104.339884537627,61.3578583148919,129.840072206322,74.6407094529534,1.75243445124545,136.257180385224,129.840072206322,106.097132574531,88.5324350580678,85.9121900876548
"R_Soft_pro",0.0908989038956493,0.0140369599390849,0.18234591393137,0.0657494530731399,0.00961800688579975,0.163039441934984,0.0890868116173305,0.235169406223586,0.0715313430750411,0.0206331727804842,0.0340189350321177,0.0599823952900835,0.0340189350321178
"R_Del_90_percentile",0.126151430013133,0.138023991783694,0.558464913187672,0.272972040813341,0.163725439878955,2.09976098775409,0.404865130347068,3.58637790122237,0.0151270494858967,0.136171288060779,-0.239402860158936,0.55846491318767,-0.191477309473248
"R_Diff_sd",0.612881377155169,0.730971905742985,1.0937866773312,0.556725670108069,0.0964129054302232,5.17338537506582,0.586088831844763,2.17397546650093,0.143973254026509,0.096412905430222,0.396271339998867,0.557791043635608,0.46781107770011
